city,address,area,floor,name,price,province,rooms,toward,unit,year,url
合肥,临泉东路与王岗大道交口东南角,90m²,中层(共18层),圣地亚哥,128万,安徽,3室2厅,南北向,14222元/m²,2013年建,https://example.com/house/HF001
合肥,临泉东路与王岗大道交口东南角,90m²,中层(共18层),圣地亚哥,128万,安徽,3室2厅,南北向,14222元/m²,2013年建,https://example.com/house/HF001
合肥,淮海大道与大众路交口,95m²,中层(共18层),正荣悦都荟,132万,安徽,3室2厅,南向,13895元/m²,2019年建,https://example.com/house/HF002
合肥,繁华大道与翡翠路交口,88m²,高层(共33层),禹洲天境,165万,安徽,3室2厅,南北向,18750元/m²,2016年建,https://example.com/house/HF003
合肥,潜山路与祁门路交口,76m²,低层(共24层),华润幸福里,146万,安徽,2室2厅,南向,19211元/m²,2012年建,https://example.com/house/HF004
合肥,长江东路与和县路交口,108m²,中层(共26层),保利东郡,178万,安徽,3室2厅,南北向,16481元/m²,2017年建,https://example.com/house/HF005
合肥,习友路与科学大道交口,126m²,高层(共32层),绿城桂花园,258万,安徽,4室2厅,南北向,20476元/m²,2010年建,https://example.com/house/HF006
合肥,包河大道与花园大道交口,67m²,中层(共22层),文一名门金隅,82万,安徽,2室1厅,南向,12239元/m²,2017年建,https://example.com/house/HF007
合肥,蒙城北路与金梅路交口,114m²,低层(共18层),北城世纪城,105万,安徽,3室2厅,东南向,9211元/m²,2014年建,https://example.com/house/HF008
合肥,云谷路与庐州大道交口,98m²,高层(共30层),滨湖宝文中心,196万,安徽,3室2厅,,20000元/m²,2020年建,https://example.com/house/HF009
南京,软件大道与安德门大街交口,89m²,中层(共28层),万科金色里程,318万,江苏,3室2厅,南向,35730元/m²,2016年建,https://example.com/house/NJ001
南京,江东中路与应天大街交口,112m²,高层(共32层),仁恒江湾城,528万,江苏,3室2厅,南北向,47143元/m²,2015年建,https://example.com/house/NJ002
南京,仙林大道与学则路交口,96m²,中层(共18层),亚东城,336万,江苏,3室2厅,南向,35000元/m²,2011年建,https://example.com/house/NJ003
南京,浦口大道与新浦路交口,105m²,低层(共26层),正荣润江城,278万,江苏,3室2厅,南北向,26476元/m²,2018年建,https://example.com/house/NJ004
南京,迈皋桥街与华电路交口,73m²,高层(共24层),华电新村,205万,江苏,2室1厅,东向,28082元/m²,2004年建,https://example.com/house/NJ005
南京,双龙大道与诚信大道交口,128m²,中层(共30层),保利中央公园,405万,江苏,4室2厅,南北向,31641元/m²,2017年建,https://example.com/house/NJ006
南京,燕子矶大道与和燕路交口,86m²,,中海燕矶听潮,260万,江苏,3室1厅,南向,30233元/m²,2021年建,https://example.com/house/NJ007
南京,龙眠大道与天元东路交口,58m²,低层(共11层),天景山公寓,132万,江苏,2室1厅,西南向,22759元/m²,2009年建,https://example.com/house/NJ008
杭州,文一西路与荆长大道交口,89m²,中层(共27层),万科未来城,395万,浙江,3室2厅,南向,44382元/m²,2018年建,https://example.com/house/HZ001
杭州,滨盛路与江晖路交口,118m²,高层(共33层),春江郦城,615万,浙江,3室2厅,南北向,52119元/m²,2016年建,https://example.com/house/HZ002
杭州,九堡街道杭海路附近,76m²,低层(共24层),九月庭院,286万,浙江,2室2厅,东南向,37632元/m²,2012年建,https://example.com/house/HZ003
杭州,金城路与通惠路交口,102m²,中层(共30层),滨江江南之星,342万,浙江,3室2厅,南向,33529元/m²,2019年建,https://example.com/house/HZ004
杭州,古墩路与金庄路交口,64m²,高层(共18层),亲亲家园,258万,浙江,2室1厅,南向,40313元/m²,2008年建,https://example.com/house/HZ005
杭州,古墩路与金庄路交口,64m²,高层(共18层),亲亲家园,258万,浙江,2室1厅,南向,40313元/m²,2008年建,https://example.com/house/HZ005
杭州,良渚大道与古墩路交口,126m²,低层(共17层),未来公寓,430万,浙江,4室2厅,南北向,34127元/m²,2015年建,https://example.com/house/HZ006
杭州,东湖高架与星光街交口,93m²,中层(共26层),赞成首府,235万,浙江,3室2厅,南向,25269元/m²,2014年建,https://example.com/house/HZ007
杭州,钱江路与庆春东路交口,143m²,高层(共38层),金基晓庐,860万,浙江,4室2厅,江景南向,60140元/m²,2013年建,https://example.com/house/HZ008
武汉,关山大道与南湖大道交口,91m²,中层(共32层),保利时代,218万,湖北,3室2厅,南向,23956元/m²,2018年建,https://example.com/house/WH001
武汉,后湖大道与塔子湖东路交口,108m²,高层(共34层),越秀星汇君泊,245万,湖北,3室2厅,南北向,22685元/m²,2017年建,https://example.com/house/WH002
武汉,和平大道与建设一路交口,79m²,低层(共28层),融侨城,196万,湖北,2室2厅,东南向,24810元/m²,2016年建,https://example.com/house/WH003
武汉,珞狮南路与文治街交口,65m²,中层(共18层),金地格林小城,138万,湖北,2室1厅,南向,21231元/m²,2010年建,https://example.com/house/WH004
武汉,四新北路与芳草路交口,121m²,高层(共33层),招商公园1872,276万,湖北,4室2厅,南北向,22810元/m²,2019年建,https://example.com/house/WH005
武汉,光谷一路与高新二路交口,98m²,中层(共26层),朗诗里程,172万,湖北,3室2厅,南向,17551元/m²,2015年建,https://example.com/house/WH006
武汉,金银湖路与环湖路交口,134m²,低层(共16层),万科四季花城,205万,湖北,4室2厅,南北向,15299元/m²,,https://example.com/house/WH007
武汉,解放大道与古田二路交口,55m²,高层(共30层),凯德西城公寓,96万,湖北,1室1厅,西向,17455元/m²,2020年建,https://example.com/house/WH008
成都,天府三街与剑南大道交口,89m²,中层(共32层),南城都汇,236万,四川,3室2厅,南向,26517元/m²,2016年建,https://example.com/house/CD001
成都,成龙大道与银木街交口,106m²,高层(共28层),卓锦城,218万,四川,3室2厅,南北向,20566元/m²,2015年建,https://example.com/house/CD002
成都,蜀汉路与一品天下大街交口,72m²,低层(共18层),中海国际社区,165万,四川,2室1厅,东南向,22917元/m²,2012年建,https://example.com/house/CD003
成都,双楠大道与星空路交口,118m²,中层(共26层),蓝光长岛国际,185万,四川,3室2厅,南向,15678元/m²,2018年建,https://example.com/house/CD004
成都,东大路与汇源北路交口,95m²,高层(共39层),环球汇天誉,310万,四川,3室2厅,南北向,32632元/m²,2020年建,https://example.com/house/CD005
成都,犀浦街道国宁东路,63m²,中层(共22层),万树森林,88万,四川,2室1厅,,13968元/m²,2014年建,https://example.com/house/CD006
成都,华府大道与益州大道交口,128m²,低层(共17层),远大中央公园,295万,四川,4室2厅,南北向,23047元/m²,2019年建,https://example.com/house/CD007
成都,昭觉寺南路与驷马桥路交口,82m²,高层(共30层),招商雍华府,154万,四川,3室1厅,南向,18780元/m²,2017年建,https://example.com/house/CD008
西安,科技路与高新六路交口,96m²,中层(共33层),高新大都荟,252万,陕西,3室2厅,南向,26250元/m²,2018年建,https://example.com/house/XA001
西安,凤城八路与文景路交口,112m²,高层(共31层),白桦林居,286万,陕西,3室2厅,南北向,25536元/m²,2015年建,https://example.com/house/XA002
西安,长安南路与雁环路交口,79m²,低层(共26层),金地翔悦天下,168万,陕西,2室2厅,东南向,21266元/m²,2017年建,https://example.com/house/XA003
西安,矿山路与广运潭大道交口,124m²,中层(共34层),御锦城,205万,陕西,4室2厅,南北向,16532元/m²,2019年建,https://example.com/house/XA004
西安,西沣路与西部大道交口,68m²,高层(共28层),紫薇田园都市,125万,陕西,2室1厅,南向,18382元/m²,2012年建,https://example.com/house/XA005
西安,浐河东路与长乐东路交口,101m²,中层(共30层),龙湖香醍国际,190万,陕西,3室2厅,南向,18812元/m²,2016年建,https://example.com/house/XA006
西安,太华北路与凤城三路交口,88m²,,万科金域华府,176万,陕西,3室1厅,西南向,20000元/m²,2014年建,https://example.com/house/XA007
西安,西长安街与府东一路交口,137m²,低层(共18层),雅居乐湖居笔记,232万,陕西,4室2厅,南北向,16934元/m²,2013年建,https://example.com/house/XA008
长沙,潇湘北路与茶子山路交口,92m²,中层(共32层),钰龙天下,185万,湖南,3室2厅,南向,20109元/m²,2017年建,https://example.com/house/CS001
长沙,万家丽路与木莲路交口,109m²,高层(共34层),华润翡翠府,210万,湖南,3室2厅,南北向,19266元/m²,2020年建,https://example.com/house/CS002
长沙,岳麓大道与雷锋大道交口,78m²,低层(共26层),金科世界城,112万,湖南,2室2厅,东南向,14359元/m²,2015年建,https://example.com/house/CS003
长沙,开福大道与福元西路交口,126m²,中层(共30层),珠江郦城,198万,湖南,4室2厅,南北向,15714元/m²,2014年建,https://example.com/house/CS004
长沙,劳动东路与沙湾路交口,65m²,高层(共28层),恒大国际广场,98万,湖南,2室1厅,南向,15077元/m²,2018年建,https://example.com/house/CS005
